Address,COUNTA of Address,ADM3_EN,ADM2_EN,ADM1_EN
"ANANDADHARA R/A, HALISHAHAR,CTG",1,Shah Ali,Dhaka,Dhaka
"ANANDIPUR, HALISHAHAR, CTG",1,Halishahar,Chittagong,Chittagong
"ANANDIPUR,AGRABAD,HALI SHAHAR,CTG",1,Unknown,Unknown,Unknown
"ANAYET BAZAR, KOTOYALI, CTG",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"ANAYETBAZAR,KOTUALI,CTG.",1,Kotwali,Chittagong,Chittagong
"ANDERKILLA,KOTOWALI,CTG",1,Kotwali,Chittagong,Chittagong
"ANDERKILLAH,CTG",1,Derai,Sunamganj,Sylhet
"ANDIKOT,MURADNAGAR,C UMILLA",1,Muradnagar,Comilla,Chittagong
ANDORKILLA CHATTOGRAM,1,Unknown,Unknown,Unknown
"ANDWIP,CTG",1,Sandwip,Chittagong,Chittagong
"ANONDIPUR,HALISAHAR,CTG.",1,Halishahar,Chittagong,Chittagong
ANOWAA CTG,1,Anowara,Chittagong,Chittagong
"ANOWAR,CTG",1,Anowara,Chittagong,Chittagong
"ANOWARA ,CTG",1,Anowara,Chittagong,Chittagong
"ANOWARA, CTY",1,Anowara,Chittagong,Chittagong
"ANOWARA,SADAR,CTG",1,Anowara,Chittagong,Chittagong
ANOWARA. CTG.,1,Anowara,Chittagong,Chittagong
ANOWARAC CTG,1,Anowara,Chittagong,Chittagong
ANOWER CTG,1,Unknown,Unknown,Unknown
"AOCHEYA,SATKANIA,CTG",1,Satkania,Chittagong,Chittagong
"AOUCHIA,SATKANIA,CTG",1,Satkania,Chittagong,Chittagong
"AOUTAPARA,BANSHER BADA,ISHWARDI,PABNA",1,Ishwardi,Pabna,Rajshahi
"AOZBALIA,ABDULLAHPUR,S ADAR,NOAKHALI",1,Noakhali Sadar (Sudharam),Noakhali,Chittagong
"APAN NIBASH BY LANE,UPAHAR CLAB,NASIRABAD,CTG",1,Unknown,Unknown,Unknown
ARAIGONJ. NARANGONJ,1,Unknown,Unknown,Unknown
"ARAJIGOPAL,PIRGACHA,RA NGPUR",1,Pirgachha,Rangpur,Rangpur
"ARAYHAJAR, NARAYANGANJ",1,Narayanganj Sadar,Narayanganj,Dhaka
"AREFIN NAGAR,BAYAZID,CTG",1,Jiban Nagar,Chuadanga,Khulna
"ARMY PARA,SADAR,BANDARBAN",1,Bandarban Sadar,Bandarban,Chittagong
"AROBPUR,JOSHOHORE",1,Roypur,Lakshmipur,Chittagong
"ARSHADIA,NANGALKOT,CU MILLA",1,Nangalkot,Comilla,Chittagong
"ARUA, SHIBALOY, MANIKGANJ",1,Manikganj Sadar,Manikganj,Dhaka
ASHADGONJ,1,Ashuganj,Brahamanbaria,Chittagong
"ASHAEKOTA,RAMGONJ,LAX MIPUR",1,Mirpur,Dhaka,Dhaka
"ASHAMBOSTI,SHANTINAGA R,KOTOWALI,RANGAMATI",1,Rangamati Sadar,Rangamati,Chittagong
"ASHFALIA,CHADDOGRAM,C UMILLA",1,Unknown,Unknown,Unknown
"ASHIA,POTIYA,CTG.",1,Patiya,Chittagong,Chittagong
"ASHRAF ALI ROAD,GPO,KOTOWALI,CTG",1,Khan Jahan Ali,Khulna,Khulna
"ASHRAF ALI ROAD,SHORAIPARA,PAHAR TOLI,CTG",1,Khan Jahan Ali,Khulna,Khulna
"ASHTODRON,SENBAG,NOA KHALI",1,Senbagh,Noakhali,Chittagong
"ASHTOGRASM,KISHOREGO NJ",1,Unknown,Unknown,Unknown
"ASHUGANJ, B. BARIA",1,Unknown,Unknown,Unknown
ASHWADIA  SADAR NOAKHALI,1,Noakhali Sadar (Sudharam),Noakhali,Chittagong
"ASHWATOLA,LAKSHAM,CU MILLA",1,Lakhai,Habiganj,Sylhet
"ASIA,POTIYA,CTG.",1,Patiya,Chittagong,Chittagong
"ASIAN H/S, SOLOKBOHOR,CTG.",1,Unknown,Unknown,Unknown
"ASKARABAD,DOUBLE MURING,CTG",1,Double Mooring,Chittagong,Chittagong
ASKARDIGIR PAR. CHATTOGRAM,1,Unknown,Unknown,Unknown
ASODGANJ,1,Ashuganj,Brahamanbaria,Chittagong
"ASTODURUNG,SENBAG,NO AKHALI",1,Senbagh,Noakhali,Chittagong
ATAMBAR KACHUA CHANDPUR,1,Kachua,Chandpur,Chittagong
"ATASH,MURADNAGAR,CUM ILLA",1,Muradnagar,Comilla,Chittagong
"ATEFIN NAGAR, BYZID, CTG",1,Jiban Nagar,Chuadanga,Khulna
"ATH HAZAR, GOWRIPUR,MOIMONSINHO",1,Hathazari,Chittagong,Chittagong
"ATHAROGATHI,KACHUA, BAGERHAT,",1,Kachua,Chandpur,Chittagong
"ATITOLI,SADAR,LAXMIPUR",1,Unknown,Unknown,Unknown
"ATORARDIPU,BAIZID,CTG.",1,Atrai,Naogaon,Rajshahi
"ATURARDIPO, BYZID, CTG",1,Atrai,Naogaon,Rajshahi
"ATURARDIPU,OXYZEN,CTG",1,Atrai,Naogaon,Rajshahi
"ATURARDIPU,PUNCHLAISH, CTG",1,Panchlaish,Chittagong,Chittagong
"ATURARDIPU,WAJEDIYA,BA YAZID,CTG",1,Atrai,Naogaon,Rajshahi
"AUSHTODHURUN,SENBAG, NOAKHALI",1,Senbagh,Noakhali,Chittagong
"AUTBAG,DAWATKANDI,CU MILLA",1,Unknown,Unknown,Unknown
"AWAZBALIA,MAIZDI SADAR,NOAKHALI",1,Noakhali Sadar (Sudharam),Noakhali,Chittagong
"AWLIAPUR,PATUAKHALI",1,Patuakhali Sadar,Patuakhali,Barisal
"AYESHA KHATUN LANE,CHANDANPURA ,JAMENA NITETON,CTG",1,Manpura,Bhola,Barisal
"AYESHA NAZIR BHABAN,FULTOLAR MORE,CHOWKBAZAR,CTG",1,Chak Bazar,Dhaka,Dhaka
"AYIRMARA,SADAR,MANIKG ONJ",1,Manikganj Sadar,Manikganj,Dhaka
AYRUL BAZAR TONGI  BARI MONSHIGONG,1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
AZADI BAZAR FATIKCHARI CTG,1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"AZADIBAZAR,FATIKCHARI,C TG",1,Fatikchhari,Chittagong,Chittagong
"AZAGARA, SHAHRASTI, CHANDPUR",1,Shahrasti,Chandpur,Chittagong
"AZAMNAGAR,MIRSARAI,CTG",1,Mirsharai,Chittagong,Chittagong
"AZAMPUR,MIRSARAI,CTG",1,Mirsharai,Chittagong,Chittagong
"AZIARA, NANGOLKOT, CUMILLA",1,Nangalkot,Comilla,Chittagong
"AZIMPUR, FATIKCHARI, CTG",1,Fatikchari,Chittagong,Chittagong
"AZIMPUR,AZIZIA,SANDWIP, CTG",1,Unknown,Unknown,Unknown
"AZIMPUR,BEGUMGONJ,NO AKHALI",1,Begumganj,Noakhali,Chittagong
"AZIMPUR,PATIYA,CTG",1,Patiya,Chittagong,Chittagong
"AZIMPUR,POTIYA,CTG.",1,Unknown,Unknown,Unknown
"AZIMPUR,VOJPUR,CTG.",1,Unknown,Unknown,Unknown
"AZIZNAGAR,LAMA ,BANDARBAN",1,Lama,Bandarban,Chittagong
"AZIZULLAHPUR,MAIZDI,NO AKHALI",1,Unknown,Unknown,Unknown
"B NO-92,R NO-7,BLOCK- B,HILL VIEW R/A,EAST NASIRABAD,CTG",1,Unknown,Unknown,Unknown
"B NO:03,R NO:01,LANE NO:06,HALISHAHAR,CTG",1,Halishahar,Chittagong,Chittagong
"B-9,EMPIRE APARTMENT,YAKUB FUTURE PARK,KHULSHI,CTG",1,Khulshi,Chittagong,Chittagong
"B-BLOCK,HALISHAHAR,CTG",1,Halishahar,Chittagong,Chittagong
"B-RAHIMPUR,LAXMIPUR",1,Unknown,Unknown,Unknown
"B,S,CHY PARA,AMBAGAN,DAMPARA, CTG",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"B. PARA,CUMILLA",1,Unknown,Unknown,Unknown
"B.M GATE,SITAKUND,CTG.",1,Sitakunda,Chittagong,Chittagong
"B.M. GATE,SITAKUND,CTG.",1,Sitakunda,Chittagong,Chittagong
"B.M.CHAR,CHAKARIA,COX'S BAZAR",1,Chakaria,Cox's Bazar,Chittagong
"BABNI, ROYPUR, LAXMIPUR",1,Roypur,Lakshmipur,Chittagong
"BABU NAGAR,FAKIRHAT,FATIKCH ARI,CTG",1,Fakirhat,Bagerhat,Khulna
BABUGANJ BARISAL,1,Babuganj,Barisal,Barisal
"BABUGANJ,BARISAL",1,Babuganj,Barisal,Barisal
"BABUKHAIN,TOILARDWIP,A NOWARA,CTG",1,Anowara,Chittagong,Chittagong
"BABUN KUMAR,AWTARY,PANCHAG AR",1,Unknown,Unknown,Unknown
"BABUNAGAR,FATICKCHARI, CTG.",1,Fatikchari,Chittagong,Chittagong
"BABUNAGAR,FATIKHARI,CTG",1,Fatikchari,Chittagong,Chittagong
"BABUPUR,KHILBAICHA,LAX MIPUR",1,Mirpur,Dhaka,Dhaka
"BABY SUPER, PANCHLISH, CTG",1,Panchlaish,Chittagong,Chittagong
BACHA MEAH ROAD PAHARTALI CTG,1,Pahartali,Chittagong,Chittagong
"BACHA MIA ROAD,MIRSARAI,CTG",1,Mirsharai,Chittagong,Chittagong
"BACHA MIA ROAD,PAHARTOLI,CTG",1,Pahartali,Chittagong,Chittagong
"BACHA MIA ROAD,WEST NASIRABAD, HNO- 2198/A,CTG",1,Unknown,Unknown,Unknown
BADARPUR FARIDGONJ CHADPUR,1,Faridganj,Chandpur,Chittagong
"BADARPUR,TAKIA BAZAR,SONAGAZI,FENI",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BADC GATE,HNO-667,WEST KHULSHI,CTG",1,Khulshi,Chittagong,Chittagong
"BADDA,DHAKA",1,Badda,Dhaka,Dhaka
"BADSHA CHAIRMAN GHATA,BAHADDARHAT,CH ANDGAO,CTG",1,Ghatail,Tangail,Dhaka
"BADSHA MIA PETROL PAMP.H NO:1016,SANANDA R/A,EAST NASIRABAD,CTG",1,Unknown,Unknown,Unknown
"BADUPARA,RAOZAN,CTG",1,Raozan,Chittagong,Chittagong
"BADURTOLA ,CHAWKBAZAR,CTG.",1,Chak Bazar,Dhaka,Dhaka
"BADURTOLA,KAPASHGOLA, PUNCHLAISH,CTG",1,Panchlaish,Chittagong,Chittagong
"BAG GHONA,LAL KHAN BAZAR,CTG",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BAG MARA,SADAR,VOLA",1,Bhola Sadar,Bhola,Barisal
BAGACHARI. RANGAMATI.,1,Rangamati Sadar,Rangamati,Chittagong
"BAGERHANTA,SADAR,JAMA LPUR",1,Bagerhat Sadar,Bagerhat,Khulna
BAGERHAT KHULNA,1,Unknown,Unknown,Unknown
"BAGGHAIN,KASHIYAISH,PA TIYA,CTG",1,Kashiani,Gopalganj,Dhaka
"BAGGHONA,KHULSHI,CTG",1,Khulshi,Chittagong,Chittagong
BAGHA RAJSAHI,1,Bagha,Rajshahi,Rajshahi
BAGHAICHHARI. RANGAMATI,1,Rangamati Sadar,Rangamati,Chittagong
"BAGHGRAM, CHOWDDOGRAM, CUMILLA",1,Unknown,Unknown,Unknown
"BAGHIA,KOTOALI,BORISHA L",1,Kotwali,Chittagong,Chittagong
"BAGHKHAIN,ANOWARA,CTG",1,Anowara,Chittagong,Chittagong
"BAGMARA, BANSHKHALI, CTG",1,Banshkhali,Chittagong,Chittagong
"BAGMARA, SADAR, VOLA",1,Barguna Sadar,Barguna,Barisal
"BAGMARA,BANSHKHALI,CTG",1,Banshkhali,Chittagong,Chittagong
"BAGOYAN,DEWANPUR,RAO ZAN,CTG",1,Raozan,Chittagong,Chittagong
BAGPUR. FARIDGONJ. CHANDPUR.,1,Chandpur Sadar,Chandpur,Chittagong
"BAGUR,BORKONDA",1,Unknown,Unknown,Unknown
"BAGURA,PATUAKHALI",1,Patuakhali Sadar,Patuakhali,Barisal
"BAHADDAR HAT,CHANDGAW,CTG.",1,Bhanga,Faridpur,Dhaka
"BAHADDARBARI,LATIFPUR, PAHARTOLI,CTG",1,Pahartali,Chittagong,Chittagong
"BAHADDARHAT,GHASIYAP ARA,CHANDGAO,CTG",1,Chandgaon,Chittagong,Chittagong
"BAHADDARHAT,KHAJA ROAD,MAIZPARA,BAKALIA, CTG",1,Bakalia,Chittagong,Chittagong
"BAHADDARHAT,PUNCHLAIS H,CTG",1,Badda,Dhaka,Dhaka
"BAHADDARPARA,GUMDAN DI,BOALKHALI,CTG",1,Boalkhali,Chittagong,Chittagong
"BAHADURKOLA,ROYPUR,D AUDKANDI,CUMILLA",1,Daudkandi,Comilla,Chittagong
"BAHADURPUR,JOYDEBPUR , SADAR,GAZIPUR",1,Gazipur Sadar,Gazipur,Dhaka
"BAHARCHORA,BANSHKHAL I, CTG.",1,Banshkhali,Chittagong,Chittagong
BAHARCHORA. SADAR. COXSBAZAR,1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BAHARKOT,SONAIMURI",1,Sonaimuri,Noakhali,Chittagong
"BAHARMORDAN,MOWLABI BAZAR,SHYLET",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BAHARPUR,SITAKUNDA,CTG",1,Sitakunda,Chittagong,Chittagong
"BAHIR SIGNEL,CHANDGAO,CTG",1,Chandgaon,Chittagong,Chittagong
"BAHORPUR, SITAKUNDA, CTG",1,Sitakunda,Chittagong,Chittagong
"BAHULI,POTIYA,CTG.",1,Patiya,Chittagong,Chittagong
BAIJITPUR KISORGANJ,1,Bajitpur,Kishoreganj,Dhaka
"BAIRABAD,LALMOHAN,BHO LA",1,Lalmohan,Bhola,Barisal
BAIRIKANDI NABI NAGAR B.BARIA,1,Unknown,Unknown,Unknown
"BAISHSINDUR ,CHATKHIL,NOAKHALI",1,Chatkhil,Noakhali,Chittagong
"BAIZD CTG,",1,Unknown,Unknown,Unknown
BAIZID BOSTAMI R/A BAIZID CTG,1,Bayejid Bostami,Chittagong,Chittagong
BAIZID. CTG,1,Unknown,Unknown,Unknown
BAJITPUR KISORGANJ,1,Bajitpur,Kishoreganj,Dhaka
"BAJITPUR, KISHORGANJ",1,Bajitpur,Kishoreganj,Dhaka
"BAJITPUR,BAGATIPARA,NA TORE",1,Bagati Para,Natore,Rajshahi
"BAJRAGHONA,COMMISSIN ER BARI,EAST BAKALIA,CTG",1,Bakalia,Chittagong,Chittagong
BAJUNIA GOPALGANJ,1,Gopalganj Sadar,Gopalganj,Dhaka
"BAJURIGHONA,KACHUA,CH ANDPUR",1,Kachua,Chandpur,Chittagong
BAKALI  CTG,1,Bakalia,Chittagong,Chittagong
BAKALI CTG,1,Barkal,Rangamati,Chittagong
"BAKALIA ,CTG",1,Bakalia,Chittagong,Chittagong
"BAKALIA SHANTI NAGAR, CHOWKBAZAR,CTG",1,Bakalia,Chittagong,Chittagong
"BAKALIA, CTG.",1,Bakalia,Chittagong,Chittagong
BAKALIC CTG,1,Bakalia,Chittagong,Chittagong
BAKERGAJ BARISAL,1,Bakerganj,Barisal,Barisal
"BAKERGANJ, BARISHAL",1,Bakerganj,Barisal,Barisal
"BAKERGANJ,BARISAL",1,Bakerganj,Barisal,Barisal
"BAKERGONJ,BARISHAL",1,Bakerganj,Barisal,Barisal
"BAKHARNAGAR ,MURADNAGAR,CUMILLA",1,Muradnagar,Comilla,Chittagong
"BAKHTAPUR,FATIKCHARI,C TG",1,Fatikchhari,Chittagong,Chittagong
"BAKHTEYAR PARA, ANOWARA, CTG",1,Anowara,Chittagong,Chittagong
"BAKHTIERPARA,ANOWARA, CTG",1,Anowara,Chittagong,Chittagong
BAKHTIYARPARA ANOWARA,1,Anowara,Chittagong,Chittagong
BAKIGANJ FARIDPUR,1,Unknown,Unknown,Unknown
"BAKKHALI,SITAKUNDA,CTG",1,Sitakunda,Chittagong,Chittagong
BAKOLIA CHATTOGRAM,1,Unknown,Unknown,Unknown
"BAKOLIA,SATKANIA,CTG.",1,Satkania,Chittagong,Chittagong
"BAKOLIA,TG,",1,Kalia,Narail,Khulna
BAKULIA. CTG,1,Bakalia,Chittagong,Chittagong
BALAGHATA BANDARBAN,1,Bandarban Sadar,Bandarban,Chittagong
"BALAKATA, SADAR, BANDARBAN",1,Bandarban Sadar,Bandarban,Chittagong
"BALAMCHAR,LALMOHAN,B HOLA",1,Lalmohan,Bhola,Barisal
"BALIA CHY,MIYAZI BARI,KALIA PARA BAZAR,SHAHRASTI,CHAND PUR",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
BALIA. BHOLA,1,Unknown,Unknown,Unknown
"BALIADANGA,KOTUALI,CTG .",1,Baliadangi,Thakurgaon,Rangpur
"BALIAKANDI,SENBAG,NOAK HALI",1,Senbagh,Noakhali,Chittagong
"BALIATOLI,AMTOLI,BORGU NA",1,Amtali,Barguna,Barisal
"BALIBARI,DEBIDDAR,CUMIL LA",1,Debidwar,Comilla,Chittagong
"BALIURA BAZAR, DOYARA, SYLHET",1,Beani Bazar,Sylhet,Sylhet
"BALLOBPUR,DEBIDDAR",1,Debidwar,Comilla,Chittagong
"BALUCHAR,GOSALHAT,SHA RIYATPUR",1,Gosairhat,Shariatpur,Dhaka
"BALUCHARA,BOTTOLIBAZA R,BAYAZID,CTG",1,Unknown,Unknown,Unknown
BALUCHORA. BAIZID. CTG,1,Unknown,Unknown,Unknown
"BALUKHALI,HATHAZARI,CTG.",1,Hathazari,Chittagong,Chittagong
"BALUTILA,BATHAKANDI,BH UJPUR,CTG",1,Unknown,Unknown,Unknown
"BAMBHUIYAN BARI,NANGALKUT,CUMILLA",1,Nangalkot,Comilla,Chittagong
"BAMNA,BORGUNA",1,Bamna,Barguna,Barisal
"BAMNI,ROYPUR,LAXMIPUR",1,Roypur,Lakshmipur,Chittagong
"BAMONSONDOR,JORARGA NJ,CTG.",1,Bamna,Barguna,Barisal
"BAMONSUNDOR, JORARGONJ, CTG",1,Bamna,Barguna,Barisal
"BAMONSUNDOR,MIRSARAI, CTG",1,Mirsharai,Chittagong,Chittagong
"BANARIPARA,BARISHAL",1,Banari Para,Barisal,Barisal
"BANCHA NAGAR,LAKSHMIPUR",1,Lakshmipur Sadar,Lakshmipur,Chittagong
"BANCHANAGAR,LAKSHMIP UR",1,Unknown,Unknown,Unknown
"BANCHANAGAR,SADAR,LU XMIPUR",1,Bagerhat Sadar,Bagerhat,Khulna
"BANCHARAMPUR,SADAR,L AXMIPUR",1,Bagerhat Sadar,Bagerhat,Khulna
"BANDAR ,CTG.",1,Bandar,Narayanganj,Dhaka
"BANDAR,CTG.",1,Bandar,Narayanganj,Dhaka
"BANDAR,MOHAL KHAN BAZAR,ANOWARA,CTG",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BANDAR,NARAYANGONJ",1,Bandar,Narayanganj,Dhaka
"BANDARTILA, EPZ, CTG",1,Bandar,Narayanganj,Dhaka
"BANDARTILA,EPZ",1,Bandar,Narayanganj,Dhaka
"BANDERHAT, SADAR, NOAKHALI",1,Noakhali Sadar (Sudharam),Noakhali,Chittagong
"BANDUYAN,MONOHORGON J,CUMILLA",1,Unknown,Unknown,Unknown
"BANGABARIA,BEDA,PABNA",1,Pabna Sadar,Pabna,Rajshahi
"BANGALIANA BAZAR, CHANDRAGHONA, RANGAMATI",1,Rangamati Sadar,Rangamati,Chittagong
"BANGARA,CUMILLA",1,Unknown,Unknown,Unknown
"BANGLA BAZAR, SITAKUNDA, CTG",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BANGLA BAZAR,CHARJABBAR",1,Unknown,Unknown,Unknown
"BANGLABAZAR,COX'S BAZAR",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
BANGRA CUMILLA,1,Unknown,Unknown,Unknown
"BANGSHIYANI,GOPALGONJ",1,Unknown,Unknown,Unknown
"BANIACHANG,HABIGANJ",1,Baniachong,Habiganj,Sylhet
"BANIAKANDI,RAJBARI",1,Balia Kandi,Rajbari,Dhaka
"BANIAKHALI,SMARONKHOL A,BAGERHAT",1,Bagerhat Sadar,Bagerhat,Khulna
BANIGRAM BANSHKHALI CTG,1,Banshkhali,Chittagong,Chittagong
"BANIGRAM,BANSHKHALI,CTG.",1,Banshkhali,Chittagong,Chittagong
"BANIRHAT,SANDWIP,CTG",1,Sandwip,Chittagong,Chittagong
"BANK COLONY,AGRABAD,CTG",1,Unknown,Unknown,Unknown
"BANK COLONY,HASU MEAH LANE,EAST BAKALIA,CTG",1,Bakalia,Chittagong,Chittagong
"BANK COLONY,SADAR, BARGUNA",1,Barguna Sadar,Barguna,Barisal
"BANOHOSTI,NETROKONA",1,Netrokona Sadar,Netrakona,Mymensingh
"BANORUPA,RANGAMATI",1,Rangamati Sadar,Rangamati,Chittagong
"BANSDHKHALI,CTG",1,Banshkhali,Chittagong,Chittagong
"BANSH PADUA, PARSHURAM, FENI",1,Parshuram,Feni,Chittagong
"BANSHBARIA, SITAKUNDA, CTG",1,Sitakunda,Chittagong,Chittagong
"BANSHBARIYA, SITAKUND,CTG.",1,Sitakunda,Chittagong,Chittagong
"BANSHBARIYA,SITAKUNDA, CTG",1,Sitakunda,Chittagong,Chittagong
BANSHGARI BHAIRAB KISHORGONJ,1,Bhairab,Kishoreganj,Dhaka
BANSHKHALI CHATTOGRAM,1,Unknown,Unknown,Unknown
"BANSHKHALI,CTG:",1,Banshkhali,Chittagong,Chittagong
"BANSHKHANA,BANSHKHALI ,CTG,",1,Banshkhali,Chittagong,Chittagong
"BANSHKHKALI,CTG",1,Banshkhali,Chittagong,Chittagong
"BANSHPARA,CHAGOLNAIY A,FENI",1,Feni Sadar,Feni,Chittagong
BANSKHALI. CTG.,1,Bangshal,Dhaka,Dhaka
"BAR AWLIA,SITAKUND,CTG.",1,Sitakunda,Chittagong,Chittagong
BARA CUMIRA SITAKUNDU CTG,1,Sitakunda,Chittagong,Chittagong
BARA DIGHIR PAR HATHAZARI CTG,1,Hathazari,Chittagong,Chittagong
BARA HATIA LOHAGARA CTG,1,Lohagara,Chittagong,Chittagong
"BARABKUND,SITAKUND,CTG.",1,Sitakunda,Chittagong,Chittagong
"BARABKUNDA, SITAKUNDA, CTG",1,Sitakunda,Chittagong,Chittagong
BARABKUNDU SITAKUNDU CTG,1,Sitakunda,Chittagong,Chittagong
"BARAI,KOSBA,B-BARIA",1,Unknown,Unknown,Unknown
BARAICHARI BAZAR KAPTAI RANGAMATI,1,Kaptai,Rangamati,Chittagong
"BARAIGRAM,NATOR",1,Baraigram,Natore,Rajshahi
BARAKUMIRA SITAKUNDU CTG,1,Sitakunda,Chittagong,Chittagong
BARAMA CHANDANISH CTG,1,Chandanaish,Chittagong,Chittagong
"BARARA, CHANDINA, CUMILLA",1,Chandina,Comilla,Chittagong
"BARAWAULIA,SITAKUNDA,C TG",1,Sitakunda,Chittagong,Chittagong
"BAREK BUILDING, BANDAR, CTG",1,Unknown,Unknown,Unknown
"BARGABAZAR, CHANDPUR",1,Unknown,Unknown,Unknown
BARGUNIA KAPTAI RANGAMATI,1,Kaptai,Rangamati,Chittagong
"BARIAKHALI,MIRSARAI,CTG",1,Mirsharai,Chittagong,Chittagong
"BARKAL,RANGAMATI",1,Barkal,Rangamati,Chittagong
"BARKOL,CHANDONAISH,CTG",1,Chandanaish,Chittagong,Chittagong
BARMA COLONY BIAZID CTG,1,Bamna,Barguna,Barisal
"BARMA KOLONI,BAIZID,CTG.",1,Bamna,Barguna,Barisal
"BARO ALAMPUR,DEBIDDAR,CUMI LLA",1,Debidwar,Comilla,Chittagong
"BARO BAZAR,SITAKUNDA,CTG",1,Unknown,Unknown,Unknown
"BARO BETUA,DATHMARA,FATIKC HARI,CTG",1,Fatikchhari,Chittagong,Chittagong
"BARO DAROGAHAT,MIRSARAI,CTG",1,Mirsharai,Chittagong,Chittagong
"BARO GHOUP,KUTUBDIYA,COX'S BAZAR",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BARO GHUP,KUTUBDIA,COX'SBAZ AR",1,Kutubdia,Cox's Bazar,Chittagong
"BARO GHUP,KUTUBDIYA, COX'SBAZARC",1,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"BARO KABOROSTHAN,BAKALIA,C TG",1,Bakalia,Chittagong,Chittagong
"BARO KACHIYA,BOURHANGONJ,B OURHANUDDIN,BHOLA",1,Bhola Sadar,Bhola,Barisal
"BARO KAMALDAHA,BARAYARDHA LA,SITAKUNDA,CTG",1,Sitakunda,Chittagong,Chittagong
"BARO KAMALDAHA,BAROIYARHA T,MIRSARAI,CTG",1,Mirsharai,Chittagong,Chittagong
"BARO KHAIN ,ANOWARA,CTG.",1,Anowara,Chittagong,Chittagong
"BARO KHAIN,ANOWARA,CTG.",1,Anowara,Chittagong,Chittagong
"BARO KOMAND, BAROIYARDHALA,MIRSARAI ,CTG",1,Mirsharai,Chittagong,Chittagong
"BARO KUMIRA, SITAKUNDA,CTG",1,Sitakunda,Chittagong,Chittagong
"BARO KUMIRA,SITAKUNDA",1,Sitakunda,Chittagong,Chittagong
"BARO MEHEDIPUR,BEGUMGONJ, NOAKHALI",1,Begumganj,Noakhali,Chittagong
"BARO MIA MOSHJID,ISLAM COLONY,BAKALIA CTG",1,Bakalia,Chittagong,Chittagong
"BARO MONU SOWDAGAR BARI,MOTIYARPUL,KADAMT OLI,CTG",1,Kadamtali,Dhaka,Dhaka
"BARO NAL,MATIRANGA,KHAGRAC HARI",1,Matiranga,Khagrachhari,Chittagong
"BARO NOWGAO,DAMUDDA,SHARI YATPUR",1,Damudya,Shariatpur,Dhaka
"BAROAWLIA, SITAKUND,CTG.",1,Sitakunda,Chittagong,Chittagong
"BAROBAKIA,PEKUA,COX'SB AZAR",1,Pekua,Cox's Bazar,Chittagong
"BAROBKUNDA,SITAKUNDA",1,Sitakunda,Chittagong,Chittagong
"BAROBKUNDA,SITAKUNDA, CTG",1,Sitakunda,Chittagong,Chittagong
"BAROCHAR,MOTLAB",1,Dohar,Dhaka,Dhaka
"BARODHAHA,SYEDPUR,NIL FAMARI",1,Unknown,Unknown,Unknown
"BARODHONA,SATKANIA,CTG",1,Satkania,Chittagong,Chittagong
"BARODHUNA,SATKANIA,CTG",1,Satkania,Chittagong,Chittagong
"BARODONA,SATKANIA,CTG",1,Satkania,Chittagong,Chittagong
"BARODULALI,BARISHAL",1,Unknown,Unknown,Unknown
"BAROGAO,SONAIMURI,NOA KHALI",1,Sonaimuri,Noakhali,Chittagong
"BAROGAON, SONAIMURI, NOAKHALI",1,Sonaimuri,Noakhali,Chittagong
"BAROGHONA,BANSHKHALI, CTG",1,Banshkhali,Chittagong,Chittagong
"BAROGHUP,KUTUBDIA,COX 'SBAZAR",1,Kutubdia,Cox's Bazar,Chittagong
"BAROGUNIA,KARTAY,RANG AMATY",1,Unknown,Unknown,Unknown
"BAROICHARI,KAPTAI,RANG AMATI",1,Kaptai,Rangamati,Chittagong
"BAROICHARI,RANGAMATI",1,Rangamati Sadar,Rangamati,Chittagong
"BAROILPOLITA,SADAR,MAG URA",1,Magura Sadar,Magura,Khulna
"BAROITOLA,LAKSHMIPUR",1,Lakshmipur Sadar,Lakshmipur,Chittagong
"BAROITOLA,MONGLA,BAGE RHAT",1,Mongla,Bagerhat,Khulna
"BAROIYARHAT,JORARGON J",1,Unknown,Unknown,Unknown
"BAROIYARHAT,MIRSARAI,C TG",1,Mirsharai,Chittagong,Chittagong
"BAROIYARHAT,SITAKUNDA, CTG",1,Sitakunda,Chittagong,Chittagong
"BAROKHAIN,ANOWARA,CTG",1,Anowara,Chittagong,Chittagong
"BAROKHAIN,ANOWARA,CTG.",1,Anowara,Chittagong,Chittagong
BAROKHAL. COXSBAZAR,1,Unknown,Unknown,Unknown
"BAROKOL,ISLAMABAD, CHANDONAISH,CTG",1,Chandanaish,Chittagong,Chittagong
